PC1,PC2,PC3,GHGIntensityCluster
7613846.134671505,5169822.758925541,674243.6839324785,3
-2507974.3895067875,657800.6582713167,1453252.9536534525,2
4512545.722688705,-3278803.380686361,117346.46531793739,3
8920140.645472854,-3646353.697800354,-1668553.4581048475,3
12938524.814249981,-10208155.080506224,6975322.142843744,3
27591715.07324023,-792973.2728373591,-16507886.060070142,0
26316397.85149752,-14818105.91731908,13661446.883572713,3
3566390.6336210677,317408.05690110783,-2210544.5774297956,0
-235188.48104309634,1899630.9391269374,1165253.3798428895,3
-1212992.670157352,-981865.0411056168,-565021.975235532,0
4196063.702961241,-562802.4821996945,-3255462.212860877,1
-2649003.7763758847,349738.67487400316,1289957.4608576738,3
-2163137.8038972695,-988350.6559473032,-38128.95580418552,0
5339963.38308355,-938237.663538366,-4193572.6434758906,0
38585941.22315006,-1484496.8392911234,-21113515.304753702,0
19915716.742944364,8579918.737029996,-4825929.752207603,2
38759689.09623765,-716588.3234599459,-22701573.55648311,0
577408.738858218,-2971266.6901040236,1745759.543834528,3
-1164728.1579535087,-981757.6817985045,-590910.3489336696,0
1830184.568613645,-579996.8848263918,-1681904.092958951,1
10921153.629011834,-901556.7091435629,-7283949.878637309,0
-107185.74274296743,-1144324.7569677562,-896903.0151738898,0
931115.87806814,-967995.3841466681,-1750993.3779475768,0
12284506.360033864,-5967189.733146417,2340720.229425875,3
812159.8289756535,-1600627.0657042565,-642716.1209009094,2
-2571383.678850586,-990991.8936284191,187685.80867460492,0
-1030606.8096872764,-2863428.502947357,2440296.7549833627,3
2431908.2385299015,-958073.3404936626,-2581970.701234205,0
27673118.6355835,5682023.482202038,-10562970.58414891,2
2093353.9377985334,-960348.3478999421,-2394370.745907732,0
33690400.69705762,-789059.2223329365,-17703185.02668467,0
15739754.773370596,352003.81389514246,-8989780.746837694,0
13190876.915882302,-886910.2624779429,-8539261.446037414,0
-1438193.08640186,-983418.5591033333,-440075.06783053296,0
-127247.52162295567,-974969.6385323731,-1165075.5654613818,0
9107121.438617798,-913806.379818171,-6278521.154512327,0
-928862.1985509174,-2803181.606749178,2285965.746158328,3
-1776018.1918479418,-985834.1817451249,-252305.07713180978,0
13639369.606638394,-3137975.806783541,-4488210.755548225,0
7570434.533494705,-967157.4854451246,-2612783.531351099,3
21284446.870144892,-833362.6611138079,-13020764.91185799,0
15310200.144765561,56379.8948620501,-8985582.759714162,0
1078925.0189573658,263145.4563521377,-863954.3395781141,0
-1037600.0332492297,589865.9629405771,578531.8736329143,2
-1969551.486092293,2129759.60630614,2316101.3032243336,3
-2363182.799947255,184831.41185567874,999246.6489583512,1
428325.77621808473,-971173.1666987631,-1473179.3750984534,0
-3157532.4148685765,-994693.7438651423,511548.2004200904,0
1713313.2651854062,2690157.761470113,696544.4785693891,2
1026330.5317694326,-966972.877704359,-1805263.588342101,0
262418.3992335445,-972472.4767027028,-1380518.952447332,0
1280389.1042205342,-965790.0877916719,-1943973.7110124412,0
268585.0940352975,-972503.9301953053,-1383648.4657063477,0
-1761430.7971433508,267758.2451923145,729481.3940757717,3
9401468.715153659,7378816.723538116,109348.75927588095,3
40694375.77588877,-303985.49185304146,-23436174.6786084,1
20562371.69939301,4360715.869505169,148349.1475880085,3
7273549.103275431,2796649.4371370957,-2320958.367199123,3
914056.735588506,-941426.3291591189,-1721681.847633205,0
4030517.0857382,-947693.1421444532,-3466364.46719851,0
4872854.997229219,-752550.4524798486,-3784794.6669734265,0
15823885.770053025,7182971.2097028075,-3638508.7916977294,3
4063166.920820658,-843545.2910638996,-3403752.1302034934,0
1050951.2694007054,-629481.1453274508,-1552193.0149882114,0
2794704.9040140184,-593540.3941203578,-2499145.6825794224,0
-344344.77978030493,2955298.865670158,2059305.173222208,3
-959839.3718548493,-980394.7217796323,-704388.8468456733,0
-808367.8469995965,-979410.3971706827,-788190.0760704195,0
-626158.2911535394,-978222.72171279,-889011.253919249,0
-2296297.2734941063,-989109.6153176575,35121.535044122444,0
-1178779.0636407235,-176641.3734749119,52517.607382675,1
7135489.550562754,-631533.3850606359,-4951566.083763845,1
4512230.710129908,3558266.6115452447,-179696.36625243814,3
2598650.463981905,293402.63000370516,-1685376.5857884055,3
689482.6689567963,2433207.117842179,1069579.4565909123,3
5801460.473029028,5957393.390385363,998052.1231459095,3
249653.23833654352,-971945.4344335913,-1373762.795427566,0
-31683.35469662228,-974338.2643187809,-1217987.06072534,0
4478394.468052017,-479666.97041096416,-3349158.157418918,0
6500826.710047016,-930740.8589976414,-4836604.420122631,0
-2412635.168539202,-760275.7655766095,280757.9070208187,0
174424.47227538444,2586348.7308792407,1478762.5704232685,3
-3350299.598500667,-727211.0379994939,830958.9698115023,0
1530957.2772482047,-963842.0557141838,-2083861.3505934852,0
-3251579.3571690116,-995553.8595291157,564561.6403018723,0
-2093437.6922545233,470723.6913247814,1074077.794720075,2
-2277613.899033697,244333.87358454557,999330.1789990574,3
-1986357.2344640526,-291357.9422744696,413077.405812478,1
-2639665.8252513404,397963.1131567776,1322711.232439105,3
-2249943.844433993,22791.52406518845,808894.8087934875,2
-1478195.5462509496,-615000.7139948147,-126215.64213746277,0
2819123.000300942,1402700.104191016,-934258.6871805497,2
14794707.876811478,-877659.5080377457,-9421954.489069313,2
-1948339.5971754154,2302972.214485308,2441147.1398316636,3
10988298.195172774,786483.3946956826,-5982031.01168923,3
1409025.504654593,2689593.2023139405,871375.1098005757,3
4461967.188592557,-905299.2613968988,-3674549.2045042138,0
3735959.815184407,-948944.3330884867,-3306016.989918016,0
-1746655.4912143487,-985517.514218279,-269046.45363788476,0
393704.5007528434,867123.2271594743,-5081.158199695032,0
11710317.318445245,219978.11798734657,-6835842.935913352,0
305064.2549791422,-972158.9154544792,-1404256.3903682446,0
-2567515.1979037444,-739258.6008332281,383723.02091591625,0
21155.733475113826,-973808.9740094622,-1247953.6543511187,0
1407695.0180491223,2840192.6235190257,990600.5827776142,3
-2631183.5873795412,-554322.2173048515,565956.3700003772,0
-1953178.5559683256,299548.9336265327,860310.5575681711,1
-343024.20657559636,-734402.4745196123,-855658.3363376517,0
-160794.42553082813,-974180.8650635446,-1146909.26165761,0
369636.478162854,-971810.7755725373,-1439698.8098294174,0
11492328.156167984,9274715.618721565,439278.8523904711,3
1361297.3756076144,-964967.6090918079,-1989906.5763758705,0
-1145344.6236932229,-449682.1617760651,-181126.23906674277,2
3696948.452000086,-874490.3972312645,-3224702.746504857,0
-989393.4624221525,569.5796128351761,86984.14239130463,2
-1092149.958432897,-981221.8538413151,-631317.2762412308,0
2824984.62621563,3595079.75843664,794612.0488192389,3
2241586.6182895843,-959507.114562742,-2475898.5967214922,0
-2427675.319554908,-311755.76031312515,643310.9533160122,0
4805032.486535823,4074015.6020175144,68051.98274535578,3
2414867.4458317193,1217658.8245498582,-854921.7535542971,2
-1677957.2581450872,-985106.5166712009,-306913.78500110155,0
-2053990.8349731585,-1059826.351780138,787188.5578838643,2
576614.8423041579,-750049.051167173,-494786.4757361393,1
1620487.0200256498,-1286346.0626830817,-1504945.928013162,0
-290838.8023384238,-976083.4857332907,-1074368.837461637,0
-1401454.0522813527,296752.44953179976,550219.5755875339,1
10175.914392925639,-973933.2988934229,-1241670.1039364683,0
-2311259.4200093225,-969280.8489387917,59267.74630844276,0
-2537939.69295299,-990723.2877259734,168980.72414092737,0
-2676001.369551181,-991720.0866792231,245756.00534046715,0
-590791.5717836878,1204672.3323293275,815423.6737810348,3
-1679403.157133424,-983748.1410779329,-304975.3037153669,0
447652.772244095,-970825.9612504594,-1484746.2991347215,0
13271214.110708429,-697873.2146384447,-8434637.3846984,0
-1630227.2016113661,-40746.125708362706,412434.8362752534,2
-1871846.6113433626,-556612.0938161772,140049.67113189542,1
52133282.354250096,4783837.768895402,-25830034.457111474,0
531573.6579866981,919643.7903335813,-37136.650564716176,2
-301055.61843644135,-739977.274633529,-882257.5264528417,0
121693.05807459757,-973175.5614630246,-1303497.0779423595,0
-1784748.3731967567,1052363.126478094,1362100.4123489142,3
12972288.157905173,-7801724.941425776,2989354.339621615,3
22107794.60487323,33238852.16842738,13429467.613555264,3
16882516.213236727,-863211.3744491446,-10579920.156241402,0
35720380.215146855,-1632862.5300645693,-19541278.015632432,0
577584.7254889946,-970340.7901429817,-1555213.7532189593,0
8016106.5135172885,-2596692.2678731754,-2910476.587497853,2
1356359.9490611278,-1661833.8642077888,-836998.1667431947,2
-680124.5116683213,893628.1500450766,619231.0735043488,2
42598483.64000135,-12217726.502013853,-5800716.914407667,3
8558875.621628514,-4284899.36611547,-418925.91522596596,3
3667508.779810343,-1942877.5894711365,-269493.88124165067,3
-1357491.1323024668,-983092.9334397705,-483938.8601158429,0
-950967.26702659,-979987.6767590782,-710675.7541000034,0
4139817.1417446136,2519695.4532908183,-792675.747831464,2
7336763.869845871,-923251.9334337964,-5297085.2372143315,0
-275860.2345711306,3729445.379456453,2630798.864325125,3
9279005.223552812,-912128.6424997132,-6375827.783182162,0
-345379.3941743792,-976353.6288366027,-1044526.9203182618,0
-2860937.028622837,-489807.6362242464,745345.5191750919,1
-2459394.7421648065,-990264.8425071504,125730.97809944589,0
288469.15760577575,-971933.1321373362,-1396391.4370388088,0
-530204.4142210806,1134684.3789044875,724049.384969878,2
5202912.743705776,-939583.0614669253,-4116927.9143998614,0
3783190.9793514204,-949143.1661859682,-3330152.149019346,0
9179953.16417906,-913749.5560109062,-6317172.045288291,0
-12611.117125053934,-1294102.3926885102,-700992.0703703497,1
-852721.3327521494,-113113.43161357373,-79701.2285467213,1
-1666924.8647646823,544975.262876314,895133.1901802529,2
2640727.6394589585,-156197.75246149363,-2065244.9595372248,0
4127375.1266018036,313615.0978479257,-2523962.599026411,2
-2755448.708667897,-547292.0656834239,640075.2829352255,0
777366.4352117078,-674631.0763241992,-1433268.7109510202,0
-2774484.35874968,-395903.4769772303,770857.6384417003,1
-1396654.9324816111,1388129.7066297003,1410445.6579380794,3
-2393328.448792075,-989657.6853155713,88478.3811204227,0
7181905.0740542,2830390.984201037,-2245545.971484315,3
2321416.8640222866,-958993.2365668301,-2520045.172682381,0
-2174102.3657527845,356716.12484167126,1030187.7744110625,3
140635.88675758513,-972833.5259410937,-1314840.91394612,0
639916.3869699555,-571285.419650858,-1274555.6094249615,2
479533.7549070631,-970496.368074221,-1502867.3387524264,0
1586622.043330489,-525141.5452248075,-1769466.5599875182,0
-810549.0730406475,-505675.11992517154,-413109.7973966011,0
540104.5970155495,111799.10414867049,-680541.0334805056,1
3822977.4464864926,-548021.279210099,-3036999.990511135,0
5238782.856704551,1896743.9991072547,-1898689.0586428023,2
2720551.6008461723,-1449783.7554158464,992004.3693166458,3
10988273.607023112,-901513.8220151736,-7319532.214029074,0
10220028.121965965,-5746545.615524597,1113902.7481007397,3
3213638.001088786,4128013.812894614,998321.4801249896,3
-1384304.1845211913,-979162.3941723781,-465772.56550994935,0
21338488.733252183,-714028.5557671689,-6072105.009842485,3
3556978.9528916315,-6032474.691847609,5178955.634177636,3
12807214.242617656,-890315.9922422423,-8323400.885557375,0
8775554.243695688,-916241.4183401521,-6093976.297428234,0
102746.81760782888,-688065.1522588829,-1067508.148349253,0
-559395.0458697128,-977905.7085273622,-925486.8732395319,0
302242.31317953253,-1875719.7194616725,87747.64165144188,2
27487719.95533839,-791035.2237496427,-16460663.370556442,0
972524.2627529427,-967326.6594268305,-1775479.1301138035,0
66136272.09830778,1301481.9372569758,-36403624.2912728,0
-1087906.1303489767,-767823.7941070597,-465108.34700087726,0
7048477.363707462,-3901056.1493137986,-231961.23017955548,3
7256209.364314247,-925627.5411230285,-5255324.84081913,0
7256209.364314247,-925627.5411230285,-5255324.84081913,0
-2734649.518275573,-358382.0056880963,778480.2341684543,1
-476458.4558352006,-269386.8112990881,-412439.85738070705,2
-2210502.4154807185,485157.3636695449,1151674.6182635739,2
-1954713.6974420627,961830.8331443125,1384579.0004336967,2
-2061610.653901413,-275110.89751240006,467450.15439817525,0
2340854.581182397,-947256.9801961737,-2523975.1604621178,0
-2840082.583060107,-992705.8617263095,336215.94768755167,0
1377965.9110287232,2349935.65548716,619783.046381918,3
-2390769.717694042,-180653.84571070276,726359.6538634553,1
3799675.424540573,2260278.0517811924,-808437.7413012338,1
2682070.033550638,-956132.2696162403,-2721616.467482568,0
445975.01384955517,-344136.85643993807,-987160.6176905696,1
-2279174.539111842,-513173.8153064728,401759.71942929324,1
-2262157.3177560414,-988603.7499263256,15113.198311401951,0
7222999.800474262,-466924.04037979495,-4873495.564244514,0
4955022.817252431,-940738.8820071459,-3981578.828815534,0
-823915.1266518354,-202270.51132137256,-166355.03714223113,2
-927896.196687671,-980305.5462954292,-721594.1883130057,0
-655498.2600613547,-160999.81568058094,-227828.92339554286,0
145554771.68260667,-39239753.180654645,16619665.388318716,3
6537359.08379932,-151857.78019403951,-4240294.745948812,1
348445.10829072027,-971859.6160940219,-1428325.3550476145,0
-2667698.699612224,-464879.91943980247,656524.6442329134,0
2522756.278074542,4163172.093996213,1411613.9284485336,3
959117.9792115461,2427825.451796609,915058.7589866125,3
327488.0370509438,2587233.187621095,1393854.1148656125,3
-2177112.2808509483,-988439.9383594112,-30403.646217746704,0
-1535386.0802586013,-984193.2757167137,-385738.6628193074,0
5672701.300603186,-936528.8743551983,-4376842.3733238615,0
-2171971.779605561,727510.0517665594,1321739.6120045409,3
-2338534.4403466,-561877.0257306771,396664.5259678902,1
15478710.279618572,-760909.0681006626,-9711957.996141221,2
-2792235.4653884475,-992530.7931653376,310280.66486364446,0
-2158445.6360223405,-485816.0927852256,355494.8570695717,1
-2792843.8933140785,-992559.4042884113,310714.5559728586,0
-1847144.5334325763,-986218.2369656222,-213262.94848875812,0
-2618752.300445344,-991347.3567932636,214080.33785741281,0
-2898959.9654823947,-993240.5832294079,369389.829678602,0
-2944958.267815057,-815975.5179234261,535146.360007882,1
-2029064.4886076937,1223570.7044296227,1633906.991899225,3
-2683322.9400743754,773456.0321295006,1642131.6357861424,2
-2849368.6397009445,298939.1556287234,1362160.470322726,3
-1991968.3152985072,-336484.3609575812,381226.98473014013,2
-2729741.6666664113,-992080.1999929592,275530.63676646975,0
-1907869.694945217,-154222.21407563938,478466.0126562208,3
381776.7887985171,-229599.26397077134,1841887.4094963179,2
-2122892.0816222425,-470013.189434183,348995.034426317,2
-1653142.6446911923,-241567.1244437839,266281.5863572603,1
1455768.8308538275,-963977.4109057199,-2043657.2039110165,0
-1388431.2880203524,-402853.8493279908,-9021.513255858637,3
-3175431.8349201353,-302702.9676856192,1069216.7027066026,3
-2823836.8554157894,-992740.4829200055,327781.1387760792,0
-2567582.051921237,-991017.1904826921,185779.83736010228,0
-2737983.873332581,-665325.1448309652,538276.9933744905,1
-2856431.090177334,-992924.0582806589,345702.4181166484,0
-2371807.171150993,385083.530258597,1163079.16733799,3
-1571175.5452363754,-121806.88126853108,314094.5748220097,1
-3463538.099262474,-996850.0051253051,681506.7133543242,0
-3160739.977603458,-994949.5560701215,514249.78803834267,0
-2133298.9293919243,223031.49500404327,902130.997487377,3
-3315646.25589216,-995945.730025351,599909.9742255977,0
-2159288.6514501185,1175183.053110773,1668689.639491844,3
-2950948.16728563,-993562.2594682821,398088.3941690388,0
-461738.2841500011,-242691.55071963117,-400510.00087335234,0
-2893023.115898686,-993212.672119143,366147.3749620616,0
-137709.63258728344,-664722.4601078772,-915536.3000666898,0
-3296729.565646007,-878563.3896815898,682124.1624696425,0
-1055564.4096911626,-981169.637062985,-650826.167411951,0
-2314134.7362410845,394491.2800840536,1138321.7177482462,3
-331531.4697145502,510824.119154289,121518.86060241803,2
-1677324.0376330542,2509089.5852758302,2452464.097381536,3
-2603322.8463818594,-587365.0245217604,524629.5132067187,1
-2512513.054376307,541444.5714064802,1365316.3468344007,3
-2691605.448947249,-991863.1264419922,254553.1954451155,0
-814768.4656264349,1241264.078142522,968782.2526745906,2
-237331.25280284678,-899037.0798013854,-1043616.7952322982,0
10304.650933003417,-974059.1586709379,-1241241.475830184,0
-253233.7907580795,-541553.0380589279,-754064.6049937522,0
-2435329.771335054,-247992.35102009538,698018.7490507283,1
-2316937.411322903,463336.23457805364,1194460.2188300309,3
-904660.9342083873,1132715.766228411,933233.7244167124,2
-1259451.4000750415,-757185.7739722315,-362073.99630980357,0
-2740405.0016801218,-992167.0843936829,281499.49481030664,0
-3004629.497445742,-993937.8666036444,427893.0406938402,0
-2921891.928973523,-993365.9716206593,381983.6408054141,0
-2383340.8701106566,174011.74934597054,1002896.6964455196,3
-2949305.045989275,-993576.5198682137,397277.7288533602,0
-2456286.159479497,-990314.8743068603,124288.2497763475,0
-1240624.112896909,-548537.2935533061,-206370.2458006623,0
-1063374.5494708428,2434123.039876145,2050341.8519186503,3
5964440.2733570235,3311560.817755975,-1190064.6758075003,1
-1159001.3031958574,-981499.0769829522,-594952.1564206884,0
-3154584.325853744,-994929.1317109887,510921.428642746,0
-2722269.455162889,-992062.7291608991,271519.30000299535,0
-2341633.6548002646,-557033.7650444161,402141.2185895946,1
-1236045.0706480402,-530587.5965846735,-195311.84285884156,0
-2501602.735507759,-810662.8906738433,291665.0075649284,1
-2990102.796402672,-993848.4297693436,419875.7640206401,0
-2904755.094421772,-535998.4713270296,733379.6680884728,1
768962.4943864709,-968698.1215211634,-1662667.2365405564,0
-2176004.67167211,-988546.9507985974,-30565.837139369498,0
-2471610.750897637,-990400.6093193786,132711.89541658963,0
-2967859.219590037,-993702.9914734337,407566.0501259155,0
-3060933.8109625946,-134239.96622034232,1138304.5546426259,3
-1878234.5575964684,-511170.30773564393,179087.1443147323,1
-2931230.321195415,-993472.4797409029,387330.8674802605,0
-2973379.949600721,-993748.9193942526,410660.0374728962,0
-2695392.793381886,-991907.6174154801,256726.96271949454,0
-1987121.3477338043,-987223.9315342858,-135442.12671142648,0
-1569379.3146138734,-438358.4031118892,64321.099493694375,1
-2150335.6732098577,-988251.0160523165,-45276.586028418315,0
-2693547.392501065,-991854.9569832197,255545.5523693249,0
-1712409.016688173,301528.59559985285,728618.6723548023,3
-1886160.5991790951,-986534.9823295648,-191428.05909733154,0
-2888349.3528961963,-859116.7653633864,469404.2013234471,0
-961890.5376944051,-693483.686796405,-476054.92316525104,1
